,Plane
0,costruzioni aeronautiche tecna p2008
0,interstate s-1b1
0,american champion aircraft 7ac
0,north wing uum inc sport x2-n
0,aircraft mfg & dev. co. (amd) ch 2000
0,just aircraft llc highlander
0,aviat a1-a
0,extra flugzeugbau gmbh ea-300
0,swearingen sa-226at
0,beechcraft d45
0,consolidated aeronautics inc. la-4-200
0,bell 206b-3
0,piper pa-32s-300
0,american aa-5
0,eagle dw1
0,lancair company lc 40 550fg
0,great lakes 2t-1a
0,dehavilland dhc-1
0,maule m-4-210
0,air tractor inc. at-301
0,bell 206 b3
0,beechcraft g-36
0,embraer emb-135lr
0,de havilland beaver dhc-2
0,beechcraft 33
0,avia stroitel ac-5m
0,airbus as350b3e
0,britten-norman bn-2a
0,aeronca 65 ca
0,de havilland beaver dhc 2
0,piper j3l
0,aerostar acft corp of texas m20e
0,piper pa 24-180
0,wsk pzl mielec pzl m18b
0,mitsubishi mu-2b-36
0,air tractor at-301a
0,piper pa25
0,pitts s-2b
0,aero commander callair a 9
0,piper pa-23-180
0,aviat aircraft inc a-1a
0,beechcraft 95 55
0,bell 47g-4
0,rockwell na-265-65
0,beechcraft s-35
0,bell helicopter textron canada 206 l4
0,taylorcraft bl 65
0,gulfstream-schweizer gulfstream am g-164b
0,stinson sr-8b
0,piper pa 28rt-201
0,cessna 305c (0 1e)
0,swearingen sa227
0,pilatus aircraft ltd pc-12/47
0,piper l 21b
0,taylorcraft aviation corp. f21
0,piper pa30 - no series
0,bellanca 17-31a
0,grumman aa5b
0,cessna t337c
0,piper pa-18a-135
0,short bros. sc-7
0,aero commander 560-f
0,funk b85c
0,beechcraft d-45
0,swearingen sa227-ac
0,aerovodochody l-29 delfin
0,cessna c172r
0,beechcraft a-36tc
0,air tractor 402
0,gulfstream giv
0,saab-scania ab (saab) 340b
0,costruzioni aeronautiche p2002 sierra
0,ultralight america spitfire ii
0,pilatus p3-05
0,airborne windsports pty ltd xt-912
0,celier aviation xenon rst
0,balloon works firefly 8b-15
0,air tractor inc at-301a
0,burkhart grob flugzeugbau g109
0,beechcraft b-99
0,mbb bo-105s
0,piper pa32-301
0,eurocopter deutschland gmbh mbb bk 117 c-2
0,beechcraft b-19
0,piper pa-25-180
0,aeropro cz a240
0,schleicher asw 19b
0,de havilland dhc8
0,northwing design apache sport
0,eurocopter as-350ba
0,rockwell international 690a
0,cessna u206d
0,czech sport aircraft a s sportcruiser
0,ryan st3kr
0,american general acft corp ag5b
0,piper pa
0,britten-norman bn-2a-27
0,embraer-empresa brasileira de emb-500
0,consolidated vultee bt13
0,schempp-hirth ventus 2cm
0,infinity commander
0,dg flugzeugbau gmbh dg 1000s
0,piper pa 28-150
0,beechcraft g33
0,beechcraft be-18
0,lindstrand balloons 90a
0,north american snj 5
0,beechcraft 65-a80
0,curtiss wright travel air 4000
0,robinson r22 - beta
0,israel aircraft industries 1124a
0,consolidated aeronautics inc. lake la 4
0,grob-werke g 120a
0,aeronca 11bc
0,schweizer sgs126
0,beechcraft be-60
0,liberty aerospace inc. xl2
0,republic rc 3
0,commander 114-b
0,piper pa32-260
0,cessna 525c
0,pzl mielec m18
0,bell 206b iii
0,air tractor inc at 401b
0,bell 47j-2a
0,aero vodochody l 39
0,ultramagic sa t210
0,mitsubishi mu 2b-25
0,aerospatiale sa319b
0,bellanca bl17-30
0,mooney m-20c
0,bell th-13t
0,pphu ekolot kr-030 topaz
0,north wing scout x-c
0,rockwell 112
0,md helicopter 600
0,fairchild pt-19a
0,"cubcrafters, inc cc11-160"
0,rolladen-schneider ls8-18
0,schweizer aircraft corp. g-164b
0,enstrom f 28c
0,air tractor at402
0,cessna 525b
0,howard aircraft dga 15p
0,de havilland dhc2
0,embraer emb 135kl
0,pdps pzl-bielsko szd-50-3
0,weatherly 201c
0,schleicher asg29-15m
0,brantly helicopter b2b
0,american champion 7kcab
0,beechcraft b36
0,beechcraft h-35
0,naval aircraft factory n3n-3
0,messerschmitt-bolkow-blohm bk 117 b-2
0,fairchild(howard) m 62c(pt-23a)
0,airborne windsports pty ltd xt-912-l
0,vans rv12
0,bombardier inc cl-600-2c10
0,bombardier cl600 2d24
0,mooney m20l
0,rolladen-schneider ohg ls3-a
0,beechcraft 35 a33
0,aviation international rotors ch-54a
0,mooney 20f
0,beechcraft d17
0,schleicher asw-20b
0,md helicopter inc 369ff
0,cessna 172 - n
0,nanchang china cj-6
0,eurocopter france as350 b3
0,grumman aa5a
0,rockwell international 112
0,rockwell s 2r
0,taylorcraft bf12
0,rolladen-schneider gmbh ls-3
0,md helicopter 369e
0,hughes th 55
0,weatherly 620a
0,garlick helicopters inc oh-58a+
0,globe gc1b
0,mooney m-18l
0,socata tb200
0,universal stinson 108-1
0,american champion (acac) 7ec
0,eiriavion oy pik 20d
0,north american t28c
0,cessna tp206b
0,schleicher alexander gmbh & co ash 26 e
0,american aviation aa5
0,beechcraft b300
0,rans s7
0,beechcraft a200
0,mcdonnell douglas aircraft co md-88
0,cessna 172 n
0,maule m 7-260c
0,hiller uh-12d
0,gulfstream american corp. aa-5a
0,mcdonnell douglas 369d
0,beechcraft 3nm
0,let super blanik l-23
0,taylorcraft aviation corp f19
0,northwing apache sport
