,Make,Model
23454,Cessna,182B
23455,Cessna,P210N
23456,Beech,H35
23458,Piper,PA-20
23459,Cessna,172S
23460,Cessna,A185E
23463,Air Tractor,AT-502
23464,Schweizer,269C
23465,Piper,PA-32RT-300
23466,Mooney,M20M
23467,Beech,A36
23468,Piper,PA-28-180
23470,Aviat,Pitts S-2B
23471,Cessna,A185E
23472,Cessna,180A
23473,Piper,PA-28R-200
23474,Cessna,182R
23476,Cessna,421B
23477,North American,SNJ-6
23478,Dornier,DO-328-300
23479,Aviat Aircraft Inc,Pitts S-2B
23480,Piper,PA-32R-301T
23481,Burkhart Grob Flugzeugbau,G103 Twin Astir
23482,Air Tractor,AT-401
23483,Piper,PA-18-150
23484,Piper,PA-28-160
23485,Cessna,206G
23486,Ayres,S-2R
23488,Gates Learjet,35A
23489,Cessna,T207A
23491,Piper,PA-23-250
23492,Grumman,G-164B
23493,Allied Ag Cat Productions,G-164A
23494,Piper,PA-23-250
23495,Cessna,182
23496,de Havilland,DHC-3T
23498,Ayres,S2R-600
23499,Air Tractor,AT-401
23500,Grumman,G-164B
23501,Weatherly,201B
23502,Piper,PA-28-236
23503,Robinson,R44
23504,Bell,206L-1
23505,Cessna,206H
23506,Grumman,AA-1B
23507,Eurocopter,EC-135P1
23508,Classic Aircraft Corp.,Waco YMF
23509,Embraer,EMB-170
23510,Flight Design,Gmbh
23511,Cessna,172R
23513,Waco Classic Aircraft Corp.,YMF 5C
23517,Bell,47G-4A
23519,Eurocopter,AS-350BA
23520,Boeing,A75N1
23521,Maule,M-5-180C
23522,Piper,J3C
23523,Christen Industries,A-1
23524,Air Tractor,AT-802
23525,Mooney,M20J
23526,Garlick Helicopters Inc,OH- 58C
23527,Cessna,T210N
23528,STYS,T-Bird Sport
23529,Bellanca,7ECA
23530,Robinson,R44
23532,Schweizer,SGS 1-35
23533,Cessna,C-172N
23534,Hughes,369HS
23535,Robinson,R-22
23536,Diamond Aircraft Industries,HK 36 TTC
23537,Robinson,R44
23540,Beech,A23
23541,Hughes,269A
23542,Piper,PA-12
23543,Schleicher,ASW-24
23544,Cessna,T182T
23545,Taylorcraft,BC12-D
23546,Beech,B36TC
23547,Piper,PA-28-151
23548,Piper,PA-28-140
23549,Aviat,A-1B
23550,Cessna,150M
23551,Hughes,269A
23552,Grumman,G-44
23554,Tecnam,P92 Super Echo
23555,Piper,PA-28R-200
23556,Maule,MT-7-235
23557,Cessna,180
23558,Piper,PA-28-280
23561,Cessna,152
23562,Allstar PZL,SZD 51-1 Junior
23563,Piper,PA-32-260
23564,Cessna,172S
23565,Bell,47-G5
23566,Maule,MX-7-180B
23568,Cessna,172SP
23569,Mooney,M20E
23570,Cessna,172L
23571,Piper,J-3
23572,Cessna,180
23574,Cessna,150F
23575,de Havilland,DHC-2
23577,Cessna,170B
23579,Boeing,A75-L3
23580,Cessna,172M
23581,Cessna,A185F
23582,Boeing,A75
23583,Piper,PA-28-161
23584,Cessna,150M
23585,Cirrus Design Corp.,SR22
23586,Ercoupe,415C
23587,Hughes,369A
23588,Ercoupe (Eng & Research Corp.),415-C
23589,Piper,PA-24-250
23590,Ayres,S2R-T34
23591,Piper,PA-38-112
23592,Helio,H-250
23593,Piper,PA-18
23594,Robinson,R-44
23595,Cessna,T210L
23596,Mooney,M20G
23597,Cessna,T210L
23598,Cessna,210J
23599,Cessna,150M
23600,Cessna,172S
23601,Ayres,S2R
23602,Grumman,G-164A
23604,Beech,BE33
23605,Piper,PA28-140
23606,McDonnell Douglas,MD-83
23607,Rockwell International,S-2R
23609,Cessna,152
23610,Cessna,R172E (T-41C)
23611,Piper,PA-28-161
23612,Aerospatiale,AS350-B3
23613,Cessna,525
23614,Schweizer,269C
23617,Grumman,G-164B
23619,Cessna,172S
23620,Cessna,414A
23621,Cessna,320
23622,Piper,J3C-65
23623,Aviat,A-1A
23625,Cessna,207
23627,Bellanca,17-A30
23628,Robinson,R44
23629,Embraer,EMB-145-LR
23630,Piper,PA-46-350P
23631,Schweizer,269C
23632,Cessna,150L
23633,Cessna,152
23634,Grumman,G-164A
23635,Piper,PA-30
23637,Cessna,310C
23639,Robinson,R-44
23640,Bell,47G-2
23641,Piper,PA-28-180
23642,Piper,PA60-602P
23643,Piper,PA-18
23644,Aviat Inc,A-1
23646,Cessna,421B
23648,Beech,C23
23649,Cessna,150L
23650,Cessna,182Q
23652,Boeing Stearman,E75
23653,Cessna,150M
23654,Piper,PA-18-150
23655,Piper,PA-28-161
23657,Cessna,170B
23658,Helo Werks,HX-1 Wasp
23659,Cessna,152
23660,Cessna,150G
23662,Cessna,182F
23663,Piper,PA-28-180
23664,Beech,BE23
23665,Eurocopter,EC120B
23667,Cessna,C172S
23669,Schweizer,269C
23671,Bell,206B3
23672,Indus Aviation,T211
23676,Cessna,A188B
23677,Schweizer,SGS 1-26D
23678,Piper,PA-28-181
23681,Piper,PA-22-150
23683,Hughes,269B
23684,Cessna,172D
23685,Cessna,182L
23686,Robinson,R44 Raven II
23687,Cessna,172N
23688,Robinson,R44 Raven II
23690,Air Tractor,AT-802A
23691,Bell,206B
23693,Cessna,172N
23694,Partenavia,P68
23695,"Bombardier, Inc.",CL-600-2D24
23697,Cessna,172S
23698,Piper,PA-44-180
23699,Heliotech,H-250
23700,Schempp-Hirth,Discus B
23701,Beech,C24R
23704,Cessna,170B
23705,Howard Aircraft Corp.,DGA-15P
23706,Cirrus,SR-20
23707,Cessna,172S
23708,Grumman-Schweizer,G-164B
23709,Cessna,182T
23710,Air Tractor Inc.,AT-502
23714,Beech,C90A
23718,Cessna,172L
23719,Beech,A24R
23720,Lake,LA-4-200
23722,GENERAL ATOMICS,PREDATOR B
23723,Robinson,R22 Beta
23724,Cessna,172
23725,Beech,P-35
23726,Mooney,M20J
23729,Cessna,182B
23730,Maule,M-5-210C
23731,Piper,PA-28-181
23732,"Christen Industries, Inc.",A-1
23733,Cessna,T337C
23734,Grumman American,AA-1C
23735,Cessna,170B
23736,Boeing,747-400
23737,Cessna,172
23738,Cessna,170B
23739,Zenair,CH 2000
23740,Cessna,172 S
23741,Aviat,A-1B
23742,Mooney,M20K
23743,Schempp-Hirth,Ventus-2C
23745,Cessna,172E
23747,Eurocopter Deutschland,EC135T2
23748,Cessna,T-R182RG
23749,Cessna,T210L
23750,American Eurocopter,AS350 B3
23751,Bell,47G-3B-1
23752,Cessna,U206G
23753,Cessna,310R
23754,CubCrafters,CC-18-180
23756,Cessna,152
23757,Sikorsky,S-76A
23758,Cessna,150M
23759,Cessna,T210N
23761,Cessna,210A
23762,Cessna,172E
23763,Cessna,170B
23764,Piper,PA-31-310
23765,Schweizer,269C
23766,Cessna,177B
23769,Cessna,170B
23770,Cessna,T310R
23771,Piper,PA-18
23773,Piper,PA-28-140
23774,Cessna,172R
23775,Beech,B-60
23776,Piper,PA-22
23779,Cessna,172S
23780,Cessna,172 M
23782,Cessna,310Q
23783,Aeronca,7AC
23784,Air Tractor,AT-602
23785,Robinson,R-22
23786,PIPER,PA-22-150
23787,Cessna,180
23790,Piper,PA-32-260
23791,Cessna,210F
23793,Piper,PA-34-200T
23794,Beech,C24R
23795,Robinson,R44 II
23797,Piper,PA-46-350P
23798,Messerschmitt-Bolkow-Blohm,BO 105LS A-3
23799,Robinson,R22 Beta
23802,Cessna,310K
23804,Air Tractor,502A
23805,Piper,PA-25-235
23806,Cessna,170A
23807,Piper,PA-22-150
23808,Cessna,L-19
23809,Cessna,0-1A
23811,Piper,PA-28-161
23813,Cessna,TR182
23815,Air Tractor,AT-602
23816,Cessna,170B
23817,Cessna,150M
23818,Cessna,182 RG
23819,Cessna,C-172S
23821,Piper,PA-28RT-201
23822,Cessna,172S
23823,Piper,PA-28-181
23824,Cessna,150
23825,Robinson,R22 Beta
23827,Piper,PA-28-181
23828,Cessna,195
23829,Bell,206B
23830,Piper,PA-30
23831,Cub Crafters,CC18-180
23832,Cessna,172M
23833,Cessna,C170A
23834,Cirrus Design Corp.,SR20
23836,Piper,PA-28-140
23837,Cessna,177
23838,Flight Design GMBH,CTSW
23839,Cessna,172-P
23841,Aero Commander,100
23842,Cessna,172
23843,Aerospatiale,AS-350BA
23844,Mooney,M20R
23845,Cessna,170A
23846,Piper/Stevens,PA18A-150
23849,Waco,EQC-6
23850,Ayres,S2R-T34
23853,Taylorcraft,BC12-65
23854,Taylorcraft,BC12-D
23855,Czech Aircraft Works,Parrot
23856,Cessna,310N
23857,Cessna,T210H
23858,Piper,PA-32-301
23859,Just Aircraft LLC,Highlander
23860,Bell,UH-1H
23862,Brantly Helicopter,B2B
23863,Aviat,A-1B
23865,Cessna,172N
23866,Cessna,170B
23867,Cessna,182T
23868,Diamond Aircraft Industries,DA 20-C1
23869,Cessna,150M
23870,Rockwell,112 TCA
23871,Piper,PA-31-310
23872,Cessna,172M
23873,Piper,PA-24-250
23874,Grumman-Schweizer,G-164A
23876,Piper,PA-44-180
23877,Piper,PA-28-180
23880,Cessna,140
23881,Cessna,172
23882,Cessna,208B
23887,Cessna,170B
23888,Piper,PA-38-112
23889,Piper,PA32-301
23890,Piper,PA-28-180
23892,Cessna,180G
23893,Piper,PA-22
23894,Cessna,180F
23895,Piper,38-112
23896,Piper,PA-20
23897,American Champion,7GCBC
23898,Mooney,M-10
23901,Cessna,172S
23904,Cessna,340A
23905,Robinson,R-22B
23907,Gates Learjet,35
23909,Cessna,172G
23910,"MD Helicopters, Inc.",MD 900
23913,Beech,C23
23914,Weatherly,201B
23915,Cessna,172RG
23916,McDonnell Douglas,DC-9-82
23918,Piper,PA-18
23919,Extra Flugzeugbau,300S
23920,Piper,PA23-250
23921,Aero Commander,AC50
23922,Piper,PA-23-250
23923,Piper,PA34-200T
23924,Champion,7EC
23925,Beech,F33A
23927,"Bombardier, Inc.",CL-600-2B19
23928,Urban Air,UFM-10
23929,Beech,C99
23930,Schleicher,ASW-19B
23931,Cirrus,SR20
23932,Piper,PA28-180F
23933,Kaman,K-1200
23934,Beech,56TC
23935,Loehle,P5151
23936,Cessna,182G
23937,Cessna,182D
23938,Cessna,152
23939,Cessna,172
23940,Cessna,182
23941,Piper,PA-28-140
23942,Stinson,108-1
23943,Enstrom,280F
23945,Bell,206L-1
23946,Beech,A36
23947,Saab-Scania AB (Saab),340B
23949,Kaman,K-1200
23951,Piper,PA-34-200T
23952,Piper,PA-32RT-300T
23954,Robinson,R44
23955,Cessna,140
23957,Cirrus,SR22
23958,Cessna,210
23959,Cessna,414A
23960,Boeing,D75N1
23962,Cessna,172N
23964,Piper,PA-28-180
23965,Ercoupe (Eng & Research Corp.),E
23966,Cessna,172S
23967,Cessna,C-37
23969,Beech,J35
23970,Cessna,185
23971,Piper,PA-18
23972,LET,L13 AC Blanik
23977,Piper,PA-24
23978,Champion,7GCB
23979,Piper,PA-18A
23980,PZL-Swidnik,PW-5
23981,Cessna,180
23982,Bell,206B
23983,Piper,PA-18
23985,Cessna,182N
23986,Grumman-Schweizer,G-164B
23987,Cessna,182C
23990,Piper,PA-24
23991,Piper,PA-32R-300
23992,Beech,V35B
23993,Dassault Aviation,Falcon 900EX
23994,Mooney,M20J
23995,Beech,G35
23996,Piper,PA-32RT-300T
23997,Douglas,DC-3
24000,Cessna,180H
24001,Aero Vodochody,L39
24002,Boeing,757-232
24003,Schweizer,269C-1
24004,Cessna,172P
24006,Beech,95-55
24008,Champion,7ECA
24009,CESSNA,150G
24010,Mooney,M20C
24011,Cessna,150L
24012,Cessna,182D
24013,Cessna,182E
24014,Cessna,172L
24015,Cessna,182P
24016,Beech,58P
24017,Lancair Company,LC41-550FG
24018,Cessna,172R
24020,Robinson,R22
24021,Robinson,R22
24023,Beech,V35
24024,Piper,PA-28-235
24025,Swearingen,SA226TC
24026,Cessna,172
24027,Piper,PA-28-140
24028,Bell,222B
24029,Piper,PA-28-161
24030,Champion,7FC
24031,Cessna,150L
24032,Cessna,421C
24033,Bell,206B
24034,Cessna,177
24035,Piper,PA-30
24038,Cessna,150
24039,Cessna,525A
24040,Piper,PA-28-140
24041,Beech,95
24042,Mooney,M20F
24043,Cessna,172M
24045,Cessna,152
24046,Beech,C90A
24047,Schweizer,269C-1
24048,Robinson,R22
24049,Cessna,172M
24050,Piper,PA-24-260
24053,Globe Swift,GC-1A
24054,Beech,C23
24056,SIAI-Marchetti,S.205/22R
24057,Cessna,210M
24059,Cessna,172N
24060,Ercoupe,415-C
24061,Cessna,180J
24062,Cessna,501
24063,Cessna,P210N
24065,Cessna,172P
24066,Cessna,172N
24067,Canadair,CL-600
24070,Cessna,172RG
24071,Swearingen,SA-226-TC
24072,Robinson,R44 II
24074,Robinson,R44
24076,Cirrus Design Corporation,SR22
24079,Short Brothers,SD-360-300
24080,Short Brothers,SD-360-300
24081,Cirrus Design Corp.,SR-22
24082,Cessna,182
24083,Robinson,R44
24084,SOCATA,TBM 700
24085,Cessna,R182
24086,Beech,200
24088,WSK-PZL WARZAWAOKECIE,PZL-104 WILGA 80
24089,Bell,206L-1
24090,Beechcraft,F33A
24092,Cessna,500
24093,Cessna,172P
24094,Cessna,T210N
24095,Piper,PA-31-350
24097,Cessna,172N
24098,Piper,PA-28-181
24099,Interstate,S-1A
24100,Cessna,A185E
24102,Piper,PA-18-150
24103,Cessna,421B
24104,Cessna,A185F
24105,Airbus,A319
24106,Eurocopter,AS350D
24107,Piper,PA-18-150
24108,Maule,M-7-260C
24109,Cessna,T210M
24110,Piper,PA-28-161
24112,Piper,PA-32R-300
24116,Piper,J5
24117,Bellanca,7ECA
24118,Globe,GC-1B
24119,Eurocopter France,AS-350-B2
24120,Cessna,421C
24121,Cessna,175
24122,Bell,206L-4
24124,Beech,A36
24125,Aero Vodochody,L-39MS
24126,Cessna,560
24127,Cessna,152
24128,Cessna,T210N
24131,Cirrus Design Corp.,SR22
24132,Piper,PA-28-161
24135,Cessna,172
24137,Cessna,R182
24138,Piper,PA-28-140
24139,Beech,BE-76
24141,Cessna,305A
24142,Piper,PA-46/Jetprop
24147,Agusta,A109E
24148,Boeing,B777-200B
24149,Cessna,310N
24150,Croman Corporation,SH-3H
24153,Cessna,TU206G
24155,Cessna,182P
24156,Cessna,172M
24158,Boeing,737-524
24160,Schewizer,233
24161,Cessna,310Q
24163,Cessna,S-550
24164,Aviat,A1-A
24166,Piper,PA-32-300
24167,Cessna,120
24168,Piper,PA-28-181
24169,Piper,PA-30
24170,Bell,47-B3
24171,Cirrus,SR22
24172,Cessna,206
24173,MBB,BO-105S
24174,Aerospatiale,AS350-B2
24175,Piper,PA-28-161
24177,Eurocopter,AS350BA
24180,Cessna,177
24182,Cirrus Design Corp.,SR20
24183,Bellanca,7KCAB
24184,Cessna,310R
24186,Cessna,172A
24187,Piper,PA-28-235
24188,Piper,Seneca
24189,Cessna,T206H
24190,Cessna,170B
24191,Piper,PA-34-200T
24193,Cessna,152
24194,Mooney,M20K
24195,EUROCOPTER,EC 130B4
24197,Beech,A100
24198,Cessna,560
24199,Cessna,152
24200,Cessna,T210
24201,Piper,PA-32-300
24203,Beech,35-A33
24205,Piper,PA-28-161
24206,Piper,PA-34-220T
24209,Culver,Cadet LCA
24210,Cessna,T210L
24211,Cessna,180
24212,Beech,D55
24213,Robinson,R44
24214,Piper,PA-28-180
24215,Piper,PA-23-160
24216,Beech,V35A
24217,Cessna,150L
24218,Cessna,182D
24219,Cessna,182A
24221,Aviat,A-1B
24222,Grumman,AA-5
24224,Bell,206L-4
24225,Mooney,M20J
24226,Cessna,P206C
24227,Beech,C23
24228,Champion,7ECA
24229,Cirrus Design Corp.,SR22
24230,Piper,PA-22
24231,Cessna,180H
24232,Learjet,35A
24233,Waco,YMF-5C
24234,Piper,PA-28-180
24235,Cessna,182G
24236,SOCATA,TBM 700
24237,Cessna,177-RG
24238,Piper,PA32-300
24239,Cessna,172 P
24240,McDonnell Douglas,MD-83
24243,Boeing,A75N1 (PT17)
24244,Maule,M-7-235
24245,Piper,PA-31-350
24246,Cessna,152
24247,McDonnell Douglas,369FF
24248,Mooney,M20J
24249,CASA,1.131E
24250,Cessna,208B
24251,Piper,PA-28-151
24253,Beech,BE23
24254,Piper,PA-28-180
24258,Cessna,182
24259,Beech,36
24261,Taylorcraft,BC12-D
24262,Champion,7EC
24263,Cessna,172R
24264,Cessna,172N
24266,Eurocopter France,AS-350-B2
24267,Taylorcraft,F-19
24268,Beech,23
24269,Cessna,172
24270,Piper,PA-28-235
24273,Piper,PA-22-108
24274,Cessna,T210M
24275,Piper,PA-18
24277,Boeing,717-200
24278,Cessna,150F
24279,Cessna,150M
24280,Boeing,747-400
24281,Beech,A36
24283,Cessna,208
24284,Robinson,R44
24285,Cessna,195
24286,Piper,PA-25-235
24287,Robinson,R22 Beta
24288,Piper,PA-22-108
24289,Piper,PA-28-181
24290,Cessna,172P
24291,Cessna,210
24293,Piper,PA-23-250
24294,Cessna,172S
24296,Bellanca,17-30A
24297,Boeing,B737-924
24298,Boeing,767-300ER
24299,Aerospatiale,SA-319B
24300,"Smith, Ted Aerostar",601P
24301,Piper,PA-46-310P
24302,Cessna,177RG
24303,Boeing,727-2S2F
24305,Cessna,172S
24307,Cessna,172S
24308,Cessna,208B
24310,Piper,PA-34-200
24311,Beech,A23
24313,Cessna,TP206A
24314,Ercoupe (Eng & Research Corp.),415C
24315,Cessna,172A
24316,Boeing,B75N1
24317,Cirrus Design Corp.,SR22
24320,Piper,PA-32RT-300
24321,Ryan,Navion
24322,Cessna,172S
24324,Piper,PA-18-150
24325,Cirrus Design Corp.,SR22
24326,Embraer,EMB-110P1
24327,Cessna,152
24329,Piper,PA-44-180
24330,Piper,PA-34-200
24332,North American,P-51D
24333,Cessna,310Q
24336,Cessna,172H
24337,Cessna,182E
24338,Diamond Aircraft Industries,HK 36 TTC
24339,Robinson,R-22B
24340,Burkhart Grob,G 103 Twin II
24342,Beech,B-55
24343,Mooney,M20A
24345,Piper,PA-30
24347,Cessna,210-5
24349,Cessna,152
24350,Cessna,425
24351,Navion,G
24352,Cessna,210M
24353,Embraer,EMB-120ER
24355,McDonnell Douglas,MD-10
24357,Cessna,182A
24358,Piper,PA-28-140
24359,Piper,PA-28-140
24360,Bellanca,14-19-2
24361,Piper,PA-24-180
24362,Cessna,195A
24363,Cameron Balloons,N-180
24364,Mooney,M20F
24365,Beech,C23
24366,Piper,PA-28-161
24367,Grumman,AA5A
24368,Piper,PA-32-300
24369,Cessna,P206
24370,Piper,PA-23-250
24371,Beech,1900D
24372,Cessna,180
24373,Piper,PA-23-250
24374,Piper,PA-28-180
24375,Gulfstream Aerospace,G-5
24377,Piper,PA-34-200
24378,American Champion,8KCAB
24379,Eurocopter France,EC 130 B4
24380,Aerospatiale,AS350B
24381,Piper,PA-24-250
24382,Piper,PA-28-180
24383,Cessna,180H
24385,Boeing,737-800
24387,Cessna,T210N
24388,Cessna,A185E
24389,Cessna,172R
24390,Cessna,P210R
24392,Cessna,182R
24393,Schweizer,269C
24394,Cessna,120
24395,Piper,PA-28RT-201
24396,Cessna,T210M
24398,Aero Commander,500B
24399,Cessna,177
24400,Cessna,208
24401,Piper,PA-28R-180
24402,Ryan Aeronautical,ST3KR
24403,Cessna,172L
24404,Cessna,T310R
24406,Beech,H35
24407,Cessna,172R
24409,Aeronca,7DC
24410,Piper,PA-32-260
24411,Piper,PA-12
24413,Piper,PA-28-181
24414,Beech,F33A
24416,Cessna,182
24417,Mooney,M20M
24418,Bell,47D1
24419,Air Tractor,AT-502B
24421,Piper,PA-28-161
24422,Beech,F33A
24423,Cessna,172N
24425,Piper,PA-23-160
24426,Cessna,172L
24427,EMBRAER,110P1
24428,Cessna,150F
24429,Beech,A36
24430,Agusta,A109-E
24431,Piper,PA-31-350
24433,Piper,PA-28-161
24436,Cessna,172N
24437,Beech,BE-76
24438,Piper,PA-28R-180
24439,Piper,PA-34-220T
24440,Cessna,172N
24441,Piper,PA38
24445,Cessna,182
24446,Cessna,172S
24448,Cessna,172A
24449,Arrow Falcon Exporters Inc.,Arrow F OH-58A
24450,Cessna,500
24452,Hughes,269A
24453,Cessna,152
24454,Cessna,150
24455,Cessna,185
24457,Lee Kolb,Mark III Classic
24460,Cessna,182Q
24461,Piper,PA-24-250
24462,Schleicher,ASH 26 E
24464,Piper,PA28A
24465,Piper,PA22-150
24466,Robinson,R44
24467,Cessna,172S
24470,Piper,PA-28-161
24471,Robinson,Beta II
24473,Cessna,182T
24475,Enstrom,F-28A
24476,Robinson,R-22 Beta
24477,Schweizer,269C-1
24478,Dirks Glaser,DG-300
24481,Piper,PA-22-160
24483,Agusta,A109E
24484,Beech,M35
24485,Cessna,152
24486,Cessna,T188C
24487,Stinson,SR-6A
24488,Aeronca,7AC
24489,Piper,PA-44-180
24490,Cessna,180
24491,Piper,PA-12
24492,Learjet,25D
24493,Cessna,210L
24494,Piper,PA-18-150
24495,Taylorcraft,BC12-D
24497,Bellanca,7ECA
24499,Cessna,208B
24500,Cessna,411
24501,Cessna,182J
24502,Cessna,185
24503,Cessna,172
24508,Nord,3202
24511,Hiller,UH-12E
24512,Bell,B206 L-3
24514,Lancair,LC-40-550FG
24516,Cessna,402B
24517,Cessna,150L
24518,Beechcraft,BE-24R
24519,Cessna,172K
24520,Aviat,A-1
24522,Cessna,172
24523,Cessna,A185F
24525,Cessna,P337H
24526,Piper,PA-28-161
24527,Hughes,369D
24528,Piper,PA-23-160
24529,Hawker Siddeley,125-700
24530,Cessna,210C
24531,Cessna,172R
24534,North American,T-39A
24535,Lancair,LC-41-550FG
24536,Cessna,172P
24537,"Bombardier, Inc.",CL-600-2B19
24539,Beech,1900D
24540,Cessna,172P
24541,Cessna,182J
24542,Cessna,140
24543,Cessna,152
24544,Elan/Glaser Dirks,DG-300
24545,Boeing,B75N1
24546,Piper,PA-38-112
24547,Piper,PA-28-140
24550,Cessna,182B
24552,Bellanca,7GCBC
24553,Piper,PA-28-180
24554,North American,AT-6D
24555,Robinson Helicopter Company,R-22 Beta II
24556,Hughes,369D
24557,Cessna,172L
24559,Cessna,U206G
24560,1200,G103
24561,Cessna,150M
24563,North Wing,Apache ST Trike
24564,Cessna,150F
24565,Cessna,310R
24566,Boeing,737-3H4
24567,Boeing,737-7H4
24568,Cessna,172
24569,Beech,F33A
24570,Sikorsky,S-76B
24571,Enstrom,F-28C
24572,Bellanca,17-30A
24574,Piper,PA-22-150
24575,American Champion (ACAC),8KCAB
24576,Airbus Industries,A319-111
24578,Beech,95-B55
24580,Beech,19A
24581,Cessna,172RG
24582,Cessna,172M
24583,Cessna,206
24584,Piper,PA-22
24586,Aerostar,RX-8
24588,Aerostar,S57-A
24589,Grumman,F6F
24590,Beech,G35
24591,Augusta,109E
24592,Beech,A36
24593,Mooney,M20K
24594,Piper,PA-28-140
24599,Bell,206L-4
24601,Aviat,A-1B
24602,Beech,58
24604,Beech,C23
24607,Cessna,152
24608,Culver,LCA
24609,Beechcraft,V35B
24611,Piper,PA-28-181
24612,Beech,D35
24614,Beech,E-55
24615,Piper,PA-46-350P
24616,Pilatus,PC-6/B2-H2
24617,Aerospatiale,AS350B
24618,Robinson Helicopter Company,R22 Beta
24620,Waco,YMF
24621,Cessna,172N
24622,Bell,206B
24623,Cessna,195
24625,Cessna,185
24626,Beech,B-60
24627,Cessna,150D
24628,Beech,D-95A
24630,North American,T-28C
24631,Cessna,172P
24633,Cessna,150M
24634,Bellanca,7GCBC
24637,Cessna,550
24638,Cessna,182
24639,Agusta,A109A II
24640,Cessna,172S
24641,Cessna,P210N
24642,Cessna,150
24643,Aeronca,7AC
24644,Cessna,206
24645,Maule,MT-7-235
24649,Cessna,T206H
24650,Cessna,A185F
24652,Cessna,560XL
24653,Cessna,182
24654,Piper,PA-25-235
24656,Piper,PA-28-140
24657,Schweizer,SGS-2-33A
24658,McDonnell Douglas,369E
24663,AEROSPATIALE,AS350BA
24664,Cessna,172P
24665,Bell,206B3
24666,Piper,PA-18-150
24667,Beech,BE-36
24668,Cessna,T210L
24669,Eurocopter Deutschland,BK-117-B2
24670,Robinson,R22 Beta
24671,Piper,PA-46T
24672,Convair Div. of Gen. Dynamics,440
24673,Mitsubishi,MU-2B-36
24674,Cessna,170A
24675,Cessna,180H
24677,Bell,407
24679,Eurocopter,AS350B3
24680,Airbus Industrie,A320
24681,Hiller,UH 12-E
24683,Diamond Aircraft Industries,DA20-C1
24684,Robinson,R44
24685,"Smith, Ted Aerostar",601P
24686,Champion,7EC
24687,Piper,PA-28-180
24688,Robinson Helicopter,R22 Beta
24689,Taylorcraft,BC12-D
24690,Cessna,172S
24691,Piper,PA-28-140
24692,Cessna,172P
24693,Beech,35-C33
24694,North American,Navion A
24697,North American,SNJ-5
24698,Stinson,108-1
24699,Cessna,152
24701,Cessna,172S
24702,Piper,PA-24-260
24703,Akro Tech Aviation Inc. Giles,G-300
24705,Schleicher,ASW-20B
24707,Cessna,182S
24708,Piper,PA 28-181
24709,Piper,PA-46-310P
24712,Cessna,172C
24714,Piper,PA-32-301
24717,Beech,F33A
24718,Piper,PA-34-200
24719,Aeronca,7AC
24720,Cessna,172
24721,Cessna,182P
24722,Beech,95-B55
24723,Cessna,177RG
24724,Cessna,175B
24725,Bell,206B
24726,Cessna,180A
24727,Bell,47G-3B
24728,Raytheon,BE-390
24729,Grumman American,AA-5A
24730,Cessna,A188B
24731,Cessna,172M
24732,Grumman,G-164B
24733,Cessna,A185F
24734,Ryan,Navion G
24735,Cessna,172M
24736,Cessna,172-S
24738,Bell,47G-3B-1
24740,Maule,MT-7-260
24741,Piper,PA-18
24743,Piper,PA-46-500TP
24744,Maule,MT7-235
24745,Bellanca,7GCBC
24747,Cessna,152
24749,Aviat,A-1B
24750,Piper,PA-18
24751,Cessna,185F
24752,Piper,PA-28-140
24753,Schweizer,SGS2-33A
24756,Israel Aircraft Industries,1124
24758,Piper,PA-32-300
24760,CESSNA,182T
24761,Piper,28
24762,Cessna,180C
24763,Piper,PA-28R-201T
24764,Cessna,152
24765,Robinson,R44 II
24766,Cessna,T207A
24767,Piper,PA-28-235
24768,Cessna,310Q
24770,Cessna,185E
24771,North American,AT-6D
24773,Robinson,R22
24774,Cessna,172RG
24777,Bell,206B
24778,Aviat,A-1B
24780,Piper,PA-44-180
24781,Boeing,A75N1
24782,Piper,PA-28-161
24783,SIKORSKY,S76
24784,Piper,PA-18
24785,Cessna,180
24786,deHavilland,DHC-2
24787,Piper,PA-22 (20)
24788,Bell,206B
24789,Beech,C23
24790,Cirrus Design Corp.,SR22
24792,Cessna,182T
24794,Christen Industries,S-2B
24796,Cessna,182E
24797,Cessna,172S
24799,Robinson,R22 Beta
24800,Cessna,172F
24802,Eclipse Aviation,HXB
24804,Cessna,180
24805,Champion,7KCAB
24807,Cessna,177A
24808,Cessna,172
24809,Cessna,172S
24810,Aerospatiale,SA315B
24812,Cessna,207
24814,Cessna,A185E
24815,Bellanca,7ECA
24816,Dassault/Sud,Falcon 20D
24818,Bell,206B
24819,Cessna,206
24821,Piper,PA-18-150
24822,Avions Robin,R.2160
24823,Schweizer,SGS-2-32
24825,Ayres,S2R-T15
24827,Porterfield,FP-65
24828,Cessna,172S
24829,Bellanca,7ECA
24830,Piper,PA-28R-180
24831,"Bombardier, Inc.",DHC-8-202
24832,Airbus Industrie,A330-223
24833,Burkhart Grob Flugzeugbau,G102 Club Astir IIIB
24834,Ayres,S2R-G10
24835,Cessna,172
24836,Cessna,152
24838,Piper,PA-28-180
24839,Piper,PA-28-181
24840,Air Tractor,AT-502
24842,Bellanca,8GCBC
24843,Cessna,441
24844,Maule,M-5-210C
24845,Piper,PA-14
24846,Bellanca,7KCAB
24847,Robinson,R22 Beta
24849,Cessna,172C
24851,Cessna,180J
24852,Cessna,172H
24854,Beech,35-A33
24855,Piper,PA-28-236
24856,Robinson,R22
24857,Cessna,414
