,Make,Model
14310,AVIAT AIRCRAFT,A-1C-180
14314,AIR TRACTOR INC,AT-502B
14315,AIR TRACTOR INC,AT-802A
14318,PIPER,PA-28-161
14319,AIR TRACTOR INC,AT-802A
14321,CESSNA,172S
14323,PIPER,PA-22/20
14324,CESSNA,172
14326,Hawker-Beechcraft,E-55
14328,BEECH,D-45 (T-34B)
14329,FLIGHT DESIGN GMBH,CTLS
14330,AVIAT AIRCRAFT INC,A-1B
14333,CESSNA,182H
14334,PIPER,PA-32-301
14335,CESSNA,T188C
14338,CESSNA,172S
14339,PIPER,PA-28-180
14341,BELL,206
14342,AIR TRACTOR,AT503
14343,PIPER,PA38
14344,CESSNA,150L
14345,CESSNA,172
14346,PIPER,PA-30
14347,DELF TIM,ZENITH CH-701
14350,WSK-MIELEC,AN-2
14351,PIPER,PA-31-350
14352,MOONEY AIRCRAFT CORP.,M20K
14353,BOMBARDIER,CRJ
14354,AIRBUS,A380
14355,BEECH,90B
14357,BEECH,BE99
14358,LET,L 33 SOLO
14359,CESSNA,402B
14360,CESSNA,310R
14361,CESSNA,182A
14362,CESSNA,172N
14363,ROBINSON,R22
14365,CESSNA,182P
14366,PIPER,PA-12
14367,BEECH,35-B33
14368,ROBINSON,R22
14369,RANS,S12
14370,CESSNA,152
14371,CESSNA,180H
14372,PIPER,PA-22/20
14374,CESSNA,172R
14376,ROCKWELL INTERNATIONAL,500-S
14379,PIPER,PA-32-300
14380,BEECH,A36
14381,BELL,47G
14382,Aviat Aircraft Inc.,A-1C-180
14383,CESSNA,172N
14384,ROBINSON HELICOPTER,R22 BETA
14386,CESSNA,172K
14387,MOONEY AIRCRAFT CORP.,M20K
14389,CESSNA,177RG
14390,CESSNA,172RG
14391,PIPER,PA-28R-180
14394,CIRRUS DESIGN CORP,SR-22
14395,TOMEI,S12 XL
14396,NORTH AMERICAN,NAVION A
14397,PIPER,PA-28RT
14398,XTREMEAIR GMBH,SBACH 342
14400,PIPER,PA-30
14402,CESSNA,172N
14403,CESSNA,150A
14404,CESSNA,U206C
14405,PIPER,PA38
14406,GULFSTREAM,GVI
14407,BOMBARDIER,CL600 2B19
14409,CESSNA,172RG
14410,CESSNA,A188
14412,EAGLE,DW1
14413,CESSNA,172P
14414,PIPER,PA 46-350P
14415,CESSNA,310F
14416,CESSNA,177
14418,BOEING,737
14419,BURKHART GROB FLUGZEUGBAU,G102 CLUB ASTIR IIIB
14420,CESSNA,172K
14422,CIRRUS,SR22
